,noc_code,position,low_wage,median_wage,high_wage,position_detail_link
68,(21100),Physicists and astronomers     ,29.51,50.3,88.14,https://www.jobbank.gc.ca/marketreport/wages-occupation/2496/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
69,(21101),Chemists     ,23.76,36.81,58.96,https://www.jobbank.gc.ca/marketreport/wages-occupation/20049/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
70,(21102),Geoscientists and oceanographers     ,30.0,54.95,94.09,https://www.jobbank.gc.ca/marketreport/wages-occupation/25594/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
71,(21103),Meteorologists and climatologists     ,0.0,53.47,0.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/2588/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
72,(21110),Biologists and related scientists     ,26.5,40.0,52.88,https://www.jobbank.gc.ca/marketreport/wages-occupation/2616/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
73,(21111),Forestry professionals     ,31.0,40.0,67.36,https://www.jobbank.gc.ca/marketreport/wages-occupation/2733/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
74,(21112),"Agricultural representatives, consultants and specialists     ",19.59,35.19,49.93,https://www.jobbank.gc.ca/marketreport/wages-occupation/15320/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
75,(21120),Public and environmental health and safety professionals      ,24.0,40.0,61.54,https://www.jobbank.gc.ca/marketreport/wages-occupation/22679/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
76,(21200),Architects     ,21.25,43.27,76.92,https://www.jobbank.gc.ca/marketreport/wages-occupation/17867/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
77,(21201),Landscape architects     ,19.67,36.54,54.7,https://www.jobbank.gc.ca/marketreport/wages-occupation/5432/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
78,(21202),Urban and land use planners     ,30.0,44.14,62.5,https://www.jobbank.gc.ca/marketreport/wages-occupation/22469/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
79,(21203),Land surveyors     ,35.5,40.0,60.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/24419/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
80,(21210),"Mathematicians, statisticians and actuaries     ",33.65,48.08,67.31,https://www.jobbank.gc.ca/marketreport/wages-occupation/5452/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
81,(21211),Data scientists      ,33.0,45.15,96.15,https://www.jobbank.gc.ca/marketreport/wages-occupation/227147/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
82,(21220),Cybersecurity specialists      ,30.0,45.67,69.23,https://www.jobbank.gc.ca/marketreport/wages-occupation/296427/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
83,(21221),Business systems specialists     ,26.54,42.94,54.36,https://www.jobbank.gc.ca/marketreport/wages-occupation/22495/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
84,(21222),Information systems specialists     ,28.85,43.96,66.67,https://www.jobbank.gc.ca/marketreport/wages-occupation/22498/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
85,(21223),Database analysts and data administrators     ,26.97,43.96,69.23,https://www.jobbank.gc.ca/marketreport/wages-occupation/17882/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
86,(21230),Computer systems developers and programmers      ,23.08,43.27,69.23,https://www.jobbank.gc.ca/marketreport/wages-occupation/22527/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
87,(21231),Software engineers and designers     ,34.0,60.1,91.35,https://www.jobbank.gc.ca/marketreport/wages-occupation/5482/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
88,(21232),Software developers and programmers      ,30.29,48.08,81.73,https://www.jobbank.gc.ca/marketreport/wages-occupation/22531/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
89,(21233),Web designers     ,19.23,30.29,49.23,https://www.jobbank.gc.ca/marketreport/wages-occupation/17898/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
90,(21234),Web developers and programmers      ,21.2,37.44,63.46,https://www.jobbank.gc.ca/marketreport/wages-occupation/296888/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
91,(21300),Civil engineers     ,27.0,51.28,82.42,https://www.jobbank.gc.ca/marketreport/wages-occupation/22376/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
92,(21301),Mechanical engineers     ,30.0,43.27,67.18,https://www.jobbank.gc.ca/marketreport/wages-occupation/2757/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
93,(21310),Electrical and electronics engineers     ,33.0,51.28,75.58,https://www.jobbank.gc.ca/marketreport/wages-occupation/17843/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
94,(21311),Computer engineers (except software engineers and designers)     ,28.85,50.0,71.79,https://www.jobbank.gc.ca/marketreport/wages-occupation/5402/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
95,(21320),Chemical engineers     ,20.19,55.0,72.12,https://www.jobbank.gc.ca/marketreport/wages-occupation/2789/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
96,(21321),Industrial and manufacturing engineers     ,28.75,44.0,78.85,https://www.jobbank.gc.ca/marketreport/wages-occupation/296824/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
97,(21322),Metallurgical and materials engineers     ,18.65,47.1,75.54,https://www.jobbank.gc.ca/marketreport/wages-occupation/17862/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
